Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
201,IC Z80A & Z80CPU,0,0,10.0,0,10,10,439200,2024,0.0,0,1
204,IF FM,10,0,0.0,0,0,10,52000,2024,0.0,0,0
205,Induktor 0.1 mH,19,0,30.0,0,30,49,105990,2024,0.0,0,1
216,Inti Trafo Ferrit & bobin PQ3220 TDK,10,0,0.0,0,0,10,767800,2024,0.0,0,0
217,Inti Trafo Ferrit & bobin PQ3230 TDK,0,0,50.0,0,50,50,14985000,2024,0.0,0,1
218,Inti Trafo Ferrit & bobin PQ3535 TDK,0,0,50.0,0,50,50,17649000,2024,0.0,0,1
219,Isolasi National 5milsx3 4,17,0,13.0,14,-1,16,87579,2024,27.0,1,2
221,"Jack Banana Hitam, merah",800,0,150.0,649,-499,301,634920,2024,324.5,1,2
222,Jack Banana Trainer AVCC besar utk modul,319,0,200.0,49,151,470,3835880,2024,24.5,0,2
224,Jack Banana Trainer AVCC Kecil  u  modul,130,0,200.0,0,200,330,1268500,2024,0.0,0,1
231,Jack Mono Kecil,30,0,0.0,0,0,30,52800,2024,0.0,0,0
232,Jumper 2 pin,58,0,200.0,0,200,258,265400,2024,0.0,0,1
233,Penyangga PCB 1 cm,109,0,200.0,109,91,200,218000,2024,54.5,0,2
236,Kertas Gosok  Duco 500,109,0,200.0,109,91,200,333000,2024,54.5,0,2
237,"Kertas Gosok  Duco 280, 400 360",0,0,200.0,0,200,200,333000,2024,0.0,0,1
243,"BNC-1 Connector (Crimping)Kompatibel dgn kabel video 1505A, ADC BNC-TP1",2,0,150.0,2,148,150,1050000,2024,1.0,0,2
244,Microphone Samson Q7,2,0,7.0,2,5,7,5068000,2024,1.0,0,2
246,Kristal 4 Mhz,0,0,30.0,0,30,30,59100,2024,0.0,0,1
251,Kuas 2.5,15,0,7.0,15,-8,7,29141,2024,7.5,1,2
252,Kuas 2,0,0,12.0,0,12,12,39960,2024,0.0,0,1
254,Kuas 1,24,0,5.0,24,-19,5,8325,2024,12.0,1,2
256,LCD Karakter 8x2 line,1,0,0.0,0,0,1,33300,2024,0.0,0,0
257,Led Kecil Hijau,281,0,355.0,281,74,355,35500,2024,140.5,0,2
258,Led Kecil Kuning,174,0,205.0,174,31,205,20500,2024,87.0,0,2
259,"Led Superbright 5mm, biru",149,0,300.0,149,151,300,30000,2024,124.5,0,2
260,"Led Superbright 5mm, Hijau",0,0,100.0,0,100,100,10000,2024,0.0,0,1
263,Penyangga PCB 2cm kuningan,534,0,250.0,449,-199,335,571200,2024,224.5,0,2
264,Converter USB Ke RS485   422,0,0,5.0,0,5,5,870000,2024,0.0,0,1
266,Karet Penyangga Besar,158,0,20.0,0,20,178,1720240,2024,0.0,0,1
269,"Led Superbright 5mm, Kuning",0,0,100.0,0,100,100,10000,2024,0.0,0,1
270,"Led Superbright 5mm, Merah",0,0,200.0,0,200,200,20000,2024,0.0,0,1
271,Mata Bor 0.8mm,0,0,27.0,0,27,27,29430,2024,0.0,0,1
272,Mata Bor Besi HSS 1-13mm,0,0,1.0,0,1,1,2236650,2024,0.0,0,1
277,"MCB 6A, 400V 1 Pole",14,0,0.0,5,-5,9,1726272,2024,2.5,0,1
282,"Motor Servo Standar 180 derajat, Parallax",0,0,30.0,0,30,30,7082100,2024,0.0,0,1
284,Obeng Kecil Set,0,0,8.0,0,8,8,259120,2024,0.0,0,1
287,Opto Coupler 4N 25,0,0,80.0,0,80,80,188800,2024,0.0,0,1
288,Resistor 220Ohm 0.5W,199,0,50.0,199,-149,50,11100,2024,99.5,1,2
289,Key Pad Matrik 4x4,10,0,0.0,0,0,10,578500,2024,0.0,0,0
290,Kikir Set Sedang,1,0,0.0,0,0,1,12430,2024,0.0,0,0
293,Konector BNC  N,2,0,10.0,2,8,10,225000,2024,1.0,0,2
294,KOnector BNC P,16,0,110.0,16,94,110,2750000,2024,8.0,0,2
296,Kotak Kontak (inbow) arde,24,0,24.0,24,0,24,658800,2024,18.0,0,2
299,Kotak Sekring,4,0,0.0,0,0,4,264000,2024,0.0,0,0
